               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080786,            0.046948,            0.022376,               0.515,             0.19909,             0.14114,             0.05482,            0.063985,            0.031385,             0.01501,            0.070091,           0.0033232,           0.0033232
                   1,            0.064182,            0.040495,            0.012003,             0.57636,             0.36037,             0.33158,              0.1366,            0.052365,            0.029299,           0.0095582,            0.040047,           0.0066126,           0.0066126
                   2,            0.059536,            0.039154,           0.0089498,             0.67081,             0.40601,             0.41142,             0.18224,            0.048706,            0.028421,           0.0075718,            0.009959,            0.009858,            0.009858
                   3,            0.054973,            0.039202,           0.0077254,             0.69364,             0.43308,             0.44729,             0.20396,            0.046194,             0.02809,            0.006723,            0.009802,            0.009802,            0.009802
                   4,            0.051407,            0.039371,           0.0069151,             0.71466,             0.43621,             0.46108,             0.21503,            0.046445,            0.027719,           0.0063709,            0.009802,            0.009802,            0.009802
                   5,            0.049309,            0.038097,            0.006491,             0.69912,             0.44397,             0.47914,             0.21914,            0.043898,            0.027306,           0.0059466,            0.009736,            0.009736,            0.009736
                   6,            0.047459,            0.038103,            0.006182,             0.59866,             0.53471,             0.53012,             0.25078,            0.042802,            0.027355,           0.0054274,             0.00967,             0.00967,             0.00967
                   7,            0.046789,            0.037626,           0.0057364,             0.58036,             0.53577,             0.52769,             0.24917,             0.04467,            0.026628,           0.0054395,            0.009604,            0.009604,            0.009604
                   8,             0.04614,            0.036834,            0.005496,             0.59956,             0.55475,             0.55739,             0.26626,             0.04235,             0.02686,           0.0051821,            0.009538,            0.009538,            0.009538
                   9,            0.045279,            0.036769,           0.0052472,             0.65237,             0.53831,             0.56348,             0.26096,            0.041671,            0.026794,           0.0049262,            0.009472,            0.009472,            0.009472
                  10,            0.044386,             0.03689,           0.0049567,             0.65248,             0.55375,             0.57457,             0.28172,            0.041241,            0.026064,           0.0048193,            0.009406,            0.009406,            0.009406
                  11,            0.044261,            0.036467,           0.0048706,             0.65336,             0.53804,             0.56751,             0.27244,             0.04165,            0.026276,           0.0046815,             0.00934,             0.00934,             0.00934
                  12,            0.043691,            0.035983,           0.0047444,             0.66107,             0.55053,             0.58228,             0.28385,            0.041018,            0.026211,           0.0046656,            0.009274,            0.009274,            0.009274
                  13,             0.04361,             0.03551,           0.0045257,             0.65554,             0.56952,             0.59767,              0.2891,            0.040872,            0.025811,            0.004492,            0.009208,            0.009208,            0.009208
                  14,            0.042988,             0.03595,           0.0043863,             0.69685,              0.5483,              0.5965,             0.29745,            0.040805,            0.025922,           0.0043962,            0.009142,            0.009142,            0.009142
                  15,            0.043082,            0.035286,           0.0043611,             0.66448,             0.56858,             0.59215,             0.28124,            0.041552,            0.025901,           0.0045894,            0.009076,            0.009076,            0.009076
                  16,            0.042447,            0.035705,           0.0043969,             0.64679,             0.56676,             0.58949,             0.29849,             0.04043,            0.025893,           0.0041878,             0.00901,             0.00901,             0.00901
                  17,            0.042383,            0.035181,           0.0041822,             0.65573,             0.59072,             0.60336,             0.29976,            0.040414,            0.025741,           0.0042469,            0.008944,            0.008944,            0.008944
                  18,            0.042121,            0.034954,           0.0040444,             0.69438,             0.56837,             0.61491,             0.31208,            0.040031,             0.02555,           0.0042132,            0.008878,            0.008878,            0.008878
                  19,            0.041909,            0.034517,           0.0040557,             0.70254,             0.56802,             0.60307,             0.30888,            0.039936,            0.025647,           0.0041709,            0.008812,            0.008812,            0.008812
                  20,            0.041624,            0.034976,           0.0041088,             0.69428,             0.58186,              0.6135,             0.31434,            0.039476,            0.025286,           0.0043652,            0.008746,            0.008746,            0.008746
                  21,            0.041744,              0.0346,            0.003907,             0.70073,             0.57114,             0.61691,             0.31592,            0.039509,            0.025352,           0.0042702,             0.00868,             0.00868,             0.00868
                  22,            0.041173,            0.034804,           0.0038142,             0.72663,              0.5713,             0.61841,             0.31602,            0.039689,            0.025218,           0.0040639,            0.008614,            0.008614,            0.008614
                  23,            0.040898,             0.03446,            0.003796,             0.72119,             0.57954,             0.63488,             0.31587,            0.039294,            0.024994,           0.0040115,            0.008548,            0.008548,            0.008548
                  24,            0.040738,            0.033907,            0.003579,             0.69662,             0.59462,             0.63131,             0.32512,            0.039098,            0.025179,           0.0040182,            0.008482,            0.008482,            0.008482
                  25,            0.041016,            0.033824,           0.0036747,             0.70267,              0.5899,              0.6307,             0.32216,            0.039181,            0.025351,           0.0039673,            0.008416,            0.008416,            0.008416
                  26,            0.040762,            0.033673,           0.0035899,             0.72092,             0.58509,             0.62621,             0.32251,            0.039479,            0.025388,           0.0040809,             0.00835,             0.00835,             0.00835
                  27,             0.04058,            0.033994,           0.0035799,             0.71286,             0.58605,             0.63043,             0.31639,            0.039484,            0.025066,           0.0039862,            0.008284,            0.008284,            0.008284
                  28,            0.040279,             0.03343,           0.0035024,             0.70391,             0.58439,             0.62798,             0.32163,            0.039058,            0.024896,           0.0039361,            0.008218,            0.008218,            0.008218
                  29,             0.04013,             0.03362,           0.0035015,             0.72872,             0.58594,             0.63262,             0.33333,            0.039006,            0.024898,           0.0039138,            0.008152,            0.008152,            0.008152
                  30,            0.040052,            0.033442,           0.0035165,             0.70849,             0.60117,             0.63975,             0.33325,            0.038755,            0.025063,           0.0040995,            0.008086,            0.008086,            0.008086
                  31,            0.040057,            0.033462,           0.0033499,             0.75518,             0.58059,             0.64807,             0.33593,            0.038834,            0.024865,            0.003951,             0.00802,             0.00802,             0.00802
                  32,            0.039766,            0.032843,           0.0032974,             0.72815,             0.58766,              0.6433,             0.32755,            0.038768,            0.024893,           0.0037223,            0.007954,            0.007954,            0.007954
                  33,            0.039579,            0.033359,           0.0033936,             0.70446,             0.59899,             0.63666,             0.33639,              0.0387,             0.02491,           0.0038863,            0.007888,            0.007888,            0.007888
                  34,            0.039749,            0.033244,           0.0033075,             0.71503,             0.61336,             0.64958,             0.33325,              0.0386,            0.024955,           0.0038382,            0.007822,            0.007822,            0.007822
                  35,            0.039389,            0.033484,           0.0033572,             0.71932,             0.58981,             0.64557,             0.33396,            0.038705,            0.024968,           0.0038836,            0.007756,            0.007756,            0.007756
                  36,            0.039427,            0.033241,           0.0032363,              0.7277,             0.61896,             0.65435,             0.34154,            0.038573,            0.024851,           0.0038822,             0.00769,             0.00769,             0.00769
                  37,            0.039475,            0.033091,           0.0031839,             0.74061,             0.60122,             0.64887,             0.33727,            0.038591,            0.024804,            0.003953,            0.007624,            0.007624,            0.007624
                  38,            0.039138,            0.032945,           0.0030379,             0.73534,             0.59234,             0.64218,             0.33216,            0.038331,            0.024602,           0.0039929,            0.007558,            0.007558,            0.007558
                  39,            0.038906,            0.032715,           0.0031255,             0.72809,             0.60073,              0.6539,             0.33952,            0.038609,            0.024658,           0.0037085,            0.007492,            0.007492,            0.007492
                  40,            0.039221,            0.032546,            0.003125,             0.71194,             0.60906,             0.65164,             0.34195,            0.038205,            0.024555,           0.0037093,            0.007426,            0.007426,            0.007426
                  41,            0.038751,            0.032822,             0.00306,             0.73307,             0.59603,             0.65206,             0.33964,            0.038434,             0.02469,           0.0038022,             0.00736,             0.00736,             0.00736
                  42,            0.038945,            0.032407,           0.0029742,             0.72254,             0.60149,             0.64861,             0.34479,              0.0382,            0.024623,           0.0038902,            0.007294,            0.007294,            0.007294
                  43,            0.038645,            0.032889,           0.0029845,             0.73238,              0.6016,              0.6523,             0.34283,            0.038085,             0.02461,           0.0037772,            0.007228,            0.007228,            0.007228
                  44,            0.038585,            0.031907,           0.0030204,             0.75598,             0.58839,             0.65527,              0.3417,            0.038141,            0.024531,           0.0036787,            0.007162,            0.007162,            0.007162
                  45,             0.03836,            0.032083,           0.0029868,             0.72532,             0.61491,             0.65815,             0.33918,            0.038114,            0.024511,           0.0037321,            0.007096,            0.007096,            0.007096
                  46,            0.038416,            0.032347,           0.0030234,             0.72395,             0.61027,             0.65745,             0.34637,            0.038127,            0.024518,           0.0037692,             0.00703,             0.00703,             0.00703
                  47,            0.038124,            0.032049,           0.0029158,             0.72792,             0.62054,             0.66543,             0.34666,             0.03798,            0.024534,           0.0037899,            0.006964,            0.006964,            0.006964
                  48,             0.03822,            0.031982,           0.0030567,             0.72469,             0.61413,             0.66589,             0.35096,            0.037974,            0.024614,            0.003604,            0.006898,            0.006898,            0.006898
                  49,            0.038224,            0.032202,           0.0029207,             0.74467,             0.60644,             0.65994,             0.35165,            0.037764,            0.024456,           0.0036619,            0.006832,            0.006832,            0.006832
                  50,            0.038033,            0.031922,            0.002856,             0.75697,             0.61953,             0.67311,             0.35554,            0.037965,            0.024512,           0.0035439,            0.006766,            0.006766,            0.006766
                  51,            0.038041,            0.031611,             0.00285,             0.72678,             0.61637,             0.65979,              0.3512,            0.037838,             0.02455,           0.0037185,              0.0067,              0.0067,              0.0067
                  52,            0.037876,               0.032,           0.0028541,             0.73207,             0.63633,             0.66745,              0.3533,            0.037714,            0.024555,           0.0036677,            0.006634,            0.006634,            0.006634
                  53,            0.037818,            0.031937,           0.0029118,             0.76038,             0.60278,             0.66721,             0.35555,            0.037538,            0.024403,           0.0037103,            0.006568,            0.006568,            0.006568
                  54,            0.037842,            0.031937,           0.0028171,             0.73902,             0.61749,              0.6728,              0.3533,              0.0378,            0.024436,           0.0036806,            0.006502,            0.006502,            0.006502
                  55,            0.037986,            0.031758,           0.0027909,             0.75563,             0.60019,             0.65883,             0.35224,            0.037688,            0.024458,           0.0036563,            0.006436,            0.006436,            0.006436
                  56,            0.037599,            0.031425,           0.0028167,             0.74266,             0.62234,              0.6675,             0.35458,             0.03769,            0.024532,           0.0035657,             0.00637,             0.00637,             0.00637
                  57,            0.037409,            0.031448,           0.0027215,             0.76051,             0.61897,             0.67038,             0.35348,            0.037734,            0.024499,           0.0037108,            0.006304,            0.006304,            0.006304
                  58,            0.037359,            0.031449,           0.0027391,             0.75324,             0.62126,             0.67051,             0.36021,            0.037578,            0.024411,           0.0036091,            0.006238,            0.006238,            0.006238
                  59,            0.037285,            0.030856,           0.0026695,             0.74874,             0.63169,             0.66455,             0.35593,            0.037573,            0.024393,           0.0036056,            0.006172,            0.006172,            0.006172
                  60,            0.037339,            0.031266,           0.0027029,             0.73811,             0.62874,             0.66614,             0.35485,            0.037475,             0.02448,            0.003724,            0.006106,            0.006106,            0.006106
                  61,            0.037066,            0.030813,           0.0026783,             0.74597,             0.62385,             0.66516,             0.35411,            0.037468,            0.024351,           0.0036231,             0.00604,             0.00604,             0.00604
                  62,            0.036845,            0.030863,           0.0026225,             0.74666,             0.62478,             0.66709,             0.35663,            0.037515,            0.024435,           0.0035577,            0.005974,            0.005974,            0.005974
                  63,            0.036906,            0.030932,           0.0026287,             0.75644,             0.61801,             0.66893,              0.3603,             0.03739,            0.024332,           0.0036001,            0.005908,            0.005908,            0.005908
                  64,            0.037019,            0.031027,            0.002549,             0.76316,              0.6264,             0.67551,             0.36487,            0.037427,            0.024229,           0.0034863,            0.005842,            0.005842,            0.005842
                  65,            0.036932,            0.030741,           0.0024886,             0.75353,              0.6212,             0.67268,             0.36233,            0.037384,              0.0242,           0.0035331,            0.005776,            0.005776,            0.005776
                  66,            0.036729,            0.031136,           0.0025535,             0.75996,             0.62672,             0.67384,             0.36301,            0.037296,            0.024422,            0.003689,             0.00571,             0.00571,             0.00571
                  67,            0.036622,            0.030147,            0.002618,             0.72808,             0.63129,             0.66684,             0.35852,            0.037186,            0.024294,           0.0036228,            0.005644,            0.005644,            0.005644
                  68,            0.036484,            0.030652,           0.0024609,             0.76196,             0.62292,             0.67518,              0.3666,            0.037116,            0.024238,           0.0035123,            0.005578,            0.005578,            0.005578
                  69,            0.036622,            0.030401,            0.002617,             0.75038,             0.62589,               0.677,             0.36743,            0.037123,            0.024358,            0.003475,            0.005512,            0.005512,            0.005512
                  70,            0.036508,             0.03079,           0.0024476,              0.7689,             0.62021,             0.67845,             0.36492,            0.037081,             0.02428,           0.0035589,            0.005446,            0.005446,            0.005446
                  71,            0.036517,            0.030091,           0.0025225,             0.74324,             0.61829,             0.67295,             0.36385,            0.037144,            0.024408,           0.0035828,             0.00538,             0.00538,             0.00538
                  72,            0.036484,            0.030467,           0.0025015,             0.73876,             0.63267,             0.67902,             0.37022,            0.037056,            0.024302,           0.0035777,            0.005314,            0.005314,            0.005314
                  73,            0.036278,            0.030421,             0.00241,              0.7697,             0.62075,             0.67801,             0.36073,            0.037273,            0.024453,           0.0035045,            0.005248,            0.005248,            0.005248
